,index,Capacidade Bat,Pot Motor Var,LCOE Total,Fração Renovável,Inicialização
528,48,289.03292394617307,52.12887319396753,0.745218821190358,0.7712582933708123,8
529,49,291.976010643671,22.93069157704127,0.7096142048940706,0.597889756253792,8
530,50,146.8420642451278,62.26822907332002,0.7191352470731036,0.7177468608585967,8
531,51,414.2820964911323,46.65158470200376,0.7670430075126006,0.8160069639796569,8
532,52,459.0353116387613,45.06426311621513,0.7741528929485881,0.8305779811760581,8
533,53,216.39663868318956,47.452031716737,0.7319161947558974,0.7439862969431704,8
534,54,347.9624425813589,10.065776571369955,0.7041234277734714,0.5455198516022812,8
535,55,336.9163419129892,45.99860831876966,0.7538331786033714,0.7889309279135713,8
536,56,340.8346746951182,46.03098037769513,0.7545323807334355,0.7903643679598528,8
537,57,445.8265873612138,47.889116449807275,0.7721071863671766,0.8263821507003732,8
538,58,269.46410170382524,49.85678397378434,0.7416729398937589,0.7639910389866319,8
539,59,255.62258294816246,51.64474953759925,0.7391393032462362,0.7587926817913676,8
542,2,312.50234798593385,10.211858562517168,0.7006740868404084,0.5345074612575882,9
543,3,312.50234798593385,10.211858562517168,0.7006740868404084,0.5345074612575882,9
544,4,499.99143288589744,51.77639474573864,0.7804182500487343,0.843402194419413,9
545,5,120.00044461799264,42.685154332970754,0.7132164202846951,0.6741093889355173,9
546,6,321.97127080434353,20.303869866740946,0.7132014477209121,0.6077504286889617,9
547,7,125.10999604236358,43.14099330452759,0.7139884174630375,0.6760049026162352,9
548,8,120.00044461799264,45.32940693239916,0.714161797240584,0.707571113777112,9
549,9,318.0275803442739,17.41055102000097,0.7073825591862004,0.5713520642766241,9
550,10,351.6968569772104,10.173678980483757,0.7045395230929826,0.5466464552469313,9
551,11,270.66091230429424,20.20437597020966,0.7074261944973697,0.5908554861342376,9
552,12,291.76844190446883,18.624187846029145,0.7047518669845907,0.5629238595359116,9
553,13,379.40670086532526,46.41454317658458,0.761213903797325,0.8040603195876403,9
554,14,362.26000263719754,46.59424242193136,0.7582679390919279,0.7980213314380965,9
555,15,407.54368548565265,56.22624377588801,0.7659448459203394,0.813741004279116,9
556,16,236.3260659980715,45.34778275360966,0.7355780718901799,0.7514992494469758,9
557,17,469.5089555967479,45.19670518723482,0.7757652371574527,0.8338809846824963,9
558,18,159.83254524093857,56.05503101030671,0.721515645283362,0.7226385937582038,9
559,19,199.82723419599938,56.606567251584146,0.7288818250721576,0.7377493256090703,9
560,20,216.01062129371573,57.89989314692906,0.7318532946624617,0.7438411847992242,9
561,21,307.30195551805167,20.246421984416386,0.7114568886021031,0.6029385988373372,9
562,22,324.9894511739035,12.266723675787716,0.7017206528832919,0.5384055902393777,9
563,23,147.7845347869696,45.163814342175144,0.7192958788822955,0.7181022903144124,9
564,24,283.0798029564541,20.21066978442859,0.7086045456024306,0.5949655867768174,9
565,25,482.40485297818805,45.32380955024574,0.7777454611561857,0.837937561849792,9
566,26,193.6762845507742,46.652632311144274,0.7277400407341865,0.7354229859536064,9
567,27,305.3362951645578,18.011873969360252,0.7059982122644386,0.56729093171164,9
568,28,170.18005267759594,47.37329140090657,0.7234093474588759,0.7265395669107508,9
569,29,395.64706784053345,45.17085415695489,0.7639604023614297,0.8096917350817976,9
570,30,221.821368592598,55.32293881306856,0.7329179367506509,0.7460284417581989,9
571,31,423.38326831887787,50.41432939603392,0.7685173365486451,0.8190221152743066,9
572,32,313.54726435025344,56.46009107671387,0.7496447802762607,0.7803266810220104,9
573,33,351.6155573797161,47.69241793734325,0.756427290120849,0.7942464139080084,9
574,34,326.7654066733749,45.17189105515703,0.7520121886756376,0.7851984975635562,9
575,35,439.1350358486782,46.634912216523546,0.7710435333756697,0.8242047448946759,9
576,36,446.63215013856956,46.634912216523546,0.7722331740137527,0.826642329020295,9
577,37,422.42791474823275,50.41432939603392,0.7683634208769484,0.8187067144024323,9
578,38,245.06480684470694,68.96774654388885,0.7372068040938877,0.7548026736315525,9
579,39,337.0351314129225,11.078443759989604,0.7029212418598159,0.5421591730645775,9
580,40,306.2934427419427,45.230945291751276,0.7483304461312,0.7776495321218095,9
581,41,278.53869672137694,50.343611003721534,0.7433267661656491,0.767381554904773,9
582,42,296.765681537214,20.21066978442859,0.7101730735071393,0.5994682688253441,9
583,43,249.70724323582965,56.43115961024124,0.7380538890319769,0.7565594122707339,9
584,44,320.88198335689333,20.246421984416386,0.7130713045513188,0.6073926874925402,9
585,45,455.2039511906106,45.17085415695489,0.7735639720165803,0.8293712750170578,9
586,46,291.68134004697293,45.17085415695489,0.7456913478725362,0.772238118662576,9
587,47,341.04001329917355,11.078443759989604,0.7033533224634755,0.5434002956199769,9
588,48,176.11343050570548,47.37329140090657,0.7245042450661084,0.7287852734546384,9
589,49,181.95971564926427,45.67037736046146,0.7255796363635572,0.730993604926369,9
590,50,140.093992685005,51.673593292718046,0.7178862670635625,0.7152012638973061,9
591,51,270.66091230429424,20.20437597020966,0.7074261944973697,0.5908554861342376,9
592,52,297.37527403076876,17.485363448776138,0.7052299087157068,0.5647290075596064,9
593,53,395.64706784053345,45.17085415695489,0.7639604023614297,0.8096917350817976,9
594,54,330.79979418016427,47.736306597311305,0.75273987185635,0.7866863782642977,9
595,55,129.5780039600556,50.414378693370224,0.7159385046664848,0.7112080160996599,9
596,56,268.554147063738,48.515537456063264,0.7415050899960628,0.763648947199379,9
597,57,286.2334423345445,47.1190242945159,0.744710501667557,0.7702238987759286,9
598,58,260.1938882467105,46.256318820787,0.7399715005018613,0.7605076334770121,9
599,59,347.50653953441514,45.280498100934246,0.7557091491414669,0.7927780728023867,9
